
ARTIGO 1:
rock: 49
jovem: 40
juventude: 35
jovens: 31
música: 20
social: 16
sociedade: 16
ideia: 14
mundo: 14
vida: 14
sociais: 14
classe: 13
cultura: 12
musical: 11
grupos: 11
frith: 11
indústria: 10
músicas: 9
média: 9
gênero: 8
século: 8
relações: 8
medovoi: 8
adolescente: 7
mudanças: 7
visão: 7
movimentos: 7
identidade: 7
local: 7
negros: 7
friedlander: 7
filmes: 7
ritmo: 7
artistas: 7
ligada: 6
geracional: 6
instituições: 6
forte: 6
identidades: 6
valores: 6
gerações: 6
defende: 6
segunda: 6
crescimento: 6
tempo: 6
nova: 6
movimento: 6
universo: 6
geração: 6
adolescentes: 6
cinema: 6
filme: 6
estilo: 6
negra: 6
janeiro: 5
adulto: 5
espaços: 5
xx: 5
características: 5
metade: 5
rebeldia: 5
conceito: 5
mannheim: 5
país: 5
guerra: 5
mercado: 5
família: 5
familiar: 5
espaço: 5
tradução: 5
liberdade: 5
consumo: 5
bad: 5
cantores: 5
branca: 5
começa: 5
racial: 5
surgimento: 4
história: 4
bandas: 4
questão: 4
adolescência: 4
comportamento: 4
problemas: 4
aceitos: 4
muda: 4
mudança: 4
fator: 4
noção: 4
experiências: 4
juvenis: 4
ganha: 4
total: 4
econômico: 4
subúrbios: 4
brancos: 4
gostos: 4
sexual: 4
imagem: 4
boy: 4
sucesso: 4
musicais: 4
adotado: 4
country: 4
influência: 4
grito: 3
deixa: 3
mostrando: 3
possui: 3
caráter: 3
moral: 3
comunicação: 3
afinal: 3
ariès: 3
etapa: 3
socialmente: 3
estudo: 3
considerados: 3
devemos: 3
violência: 3
destaque: 3
levando: 3
abramo: 3
altera: 3
ideológico: 3
devido: 3
estruturas: 3
ator: 3
ligado: 3
branco: 3
política: 3
meio: 3
grupo: 3
bourdieu: 3
havendo: 3
pessoa: 3
demanda: 3
ligação: 3
status: 3
cidades: 3
produtos: 3
fenômeno: 3
estrutura: 3
casa: 3
centros: 3
afastandose: 3
individual: 3
apud: 3
novas: 3
juvenil: 3
locais: 3
busca: 3
diversão: 3
responsável: 3
porcento: 3
discos: 3
mídias: 3
experiência: 3
rebelde: 3
personagem: 3
elvis: 3
presley: 3
casos: 3
confronto: 3
público: 3
bill: 3
desejo: 3
gravadoras: 3
quarto: 3
paulo: 3
university: 3
criação: 2
falar: 2
apresenta: 2
gosto: 2
públicos: 2
artigo: 2
discutir: 2
definição: 2
juventudes: 2
reduzido: 2
crítica: 2
políticas: 2
agregador: 2
tornouse: 2
phillipe: 2
encontra: 2
notar: 2
delinquentes: 2
contestadores: 2
notamos: 2
aceita: 2
simon: 2
surgem: 2
usava: 2
operária: 2
colégio: 2
completar: 2
possuíam: 2
estética: 2
pesquisadores: 2
focam: 2
meios: 2
escola: 2
constituem: 2
imigrantes: 2
viviam: 2
normas: 2
classes: 2
atitudes: 2
estudantil: 2
interessante: 2
similares: 2
adquirem: 2
levaram: 2
indivíduo: 2
político: 2
sujeito: 2
considerado: 2
tendências: 2
cardoso: 2
sampaio: 2
marcados: 2
trabalhar: 2
karl: 2
categoria: 2
mobilização: 2
conservadores: 2
dinâmica: 2
vão: 2
considerada: 2
característica: 2
chega: 2
descontinuidade: 2
trocas: 2
regionais: 2
choque: 2
ambiente: 2
atual: 2
condições: 2
causa: 2
europa: 2
proporcionando: 2
pósguerra: 2
tocadiscos: 2
fundamental: 2
foner: 2
lugar: 2
nuclear: 2
filhos: 2
cria: 2
subúrbio: 2
fria: 2
ideias: 2
ápice: 2
predominância: 2
rápido: 2
jones: 2
complementar: 2
lazer: 2
vigentes: 2
necessário: 2
ruptura: 2
cruz: 2
nesses: 2
interação: 2
formação: 2
possuem: 2
cola: 2
individuais: 2
coletivas: 2
cultural: 2
atender: 2
diretamente: 2
fast: 2
foods: 2
carros: 2
gastando: 2
dinheiro: 2
bilhões: 2
milhões: 2
álbuns: 2
expressão: 2
símbolo: 2
voz: 2
dean: 2
quebrar: 2
garota: 2
função: 2
conflitos: 2
realização: 2
sexualidade: 2
situações: 2
ligadas: 2
temáticas: 2
integração: 2
reproduzir: 2
temas: 2
sementes: 2
lançamento: 2
around: 2
clock: 2
fez: 2
ídolos: 2
adultos: 2
ouvintes: 2
pensamento: 2
latente: 2
subgêneros: 2
ouvinte: 2
blues: 2
urbano: 2
questionar: 2
falavam: 2
drogas: 2
conservadora: 2
dança: 2
letras: 2
lee: 2
força: 2
músicos: 2
halley: 2
abriu: 2
influenciados: 2
entretenimento: 2
população: 2
televisão: 2
programas: 2
independentes: 2
acabavam: 2
negras: 2
gravação: 2
negro: 2
estúdio: 2
microfone: 2
ficava: 2
sensual: 2
origem: 2
conservadoras: 2
graças: 2
consegue: 2
sofrer: 2
popular: 2
próxima: 2
intensifica: 2
ideologias: 2
ligados: 2
acompanha: 2
passam: 2
questionamentos: 2
helena: 2
roll: 2
duke: 2
sociologia: 2
luís: 1
fellipe: 1
afonso: 1
doutorando: 1
comparada: 1
universidade: 1
federal: 1
ufrj: 1
hrefmailtolfafogoyahoocombrlfafogoyahoocombra: 1
intimamente: 1
explicar: 1
separa: 1
ouvir: 1
cantar: 1
mostra: 1
particulares: 1
pretendo: 1
interligados: 1
pensando: 1
condição: 1
questionador: 1
adulta: 1
cenário: 1
contestadora: 1
historicamente: 1
recente: 1
humanidade: 1
separação: 1
infantil: 1
xvii: 1
distinguível: 1
relativamente: 1
antigo: 1
ciências: 1
humanas: 1
antropologia: 1
datando: 1
virada: 1
xix: 1
começam: 1
anormal: 1
excêntricos: 1
buscavam: 1
autonomia: 1
instituídos: 1
precedentes: 1
academia: 1
percepção: 1
problematizandoa: 1
distinguida: 1
atentar: 1
diferença: 1
existente: 1
termos: 1
teenager: 1
young: 1
distintas: 1
atualmente: 1
significado: 1
parecido: 1
proveniente: 1
referindose: 1
deixava: 1
casar: 1
bares: 1
clubes: 1
jazz: 1
indivíduos: 1
trabalhadora: 1
delinquência: 1
massa: 1
pregavam: 1
atos: 1
sexualizados: 1
ganham: 1
décadas: 1
trabalhos: 1
produzidos: 1
chicagofootnote: 1
importantes: 1
tratados: 1
sociológicos: 1
questionam: 1
surgidos: 1
metrópoles: 1
gangues: 1
homens: 1
bairros: 1
rua: 1
institucionais: 1
desenvolvendo: 1
fugia: 1
refletia: 1
garotos: 1
adotaram: 1
deliberativo: 1
baixas: 1
decidiam: 1
conscientemente: 1
oporse: 1
sentido: 1
representar: 1
associada: 1
